Your task is to create RDF triples in the Turtle format for entities described in a table in the Wikitext format, given an example table from the Wikipedia page "List of books banned by governments" and triples extracted from that example table. Only use information which is directly stated in the table. Return all triples for all entities that you can find, I do not want a partial representation. Do not return placeholders, only complete objects. If you provide a URL, the URL must be stated in the table.
---
This is the example table:

{| class="wikitable "
|-
! width=170pt|Title
! width=120pt|Author(s)
! Year published
!Year Banned
!Year Unbanned 
! Type
! Notes
|-
| ''[[Areopagitica]]''
| [[John Milton]]
| 1644
|1644
|1695
| Essay
| Banned in the [[Kingdom of England]] for political reasons.<ref>Karolides et al., pp. 16–20</ref>
|-
|''[[Fanny Hill]]'' or ''Memoirs of a Woman of Pleasure''
|[[John Cleland]]
|1748
|1749
|1970
|Novel
|Banned in the UK till after the Second World War.<ref>{{Cite web |last=Little |first=Becky |date=23 January 2019 |title=When the Supreme Court Had to Read an 18th-Century Erotic Novel |url=https://www.history.com/news/fanny-hill-banned-book-supreme-court-case |website=The History Channel}}</ref>
|-
| ''[[Rights of Man]]''
| [[Thomas Paine]]
| 1791
|1792
|Pre-1990 *Unknown*
| Political theory
| Banned in the UK and author charged with treason for supporting the [[French Revolution]].<ref name=b2/>
|-
| ''[[Ulysses (novel)|Ulysses]]'' (1922)
| [[James Joyce]]
| 1922
|
|1936
| Novel
| Banned in the UK until 1936.<ref>{{cite book | last = McCourt | first = John | title = James Joyce: A Passionate Exile | page = 98 | publisher = Orion Books Ltd | year = 2000 | location = London | isbn = 0-7528-1829-5 }}</ref><ref>{{cite web |url=http://www.historyguide.org/europe/lecture8.html |title=Lecture 8: The Age of Anxiety: Europe in the 1920s |last=Kreis |first=Steven |publisher=The History Guide |date=June 25, 2014 |access-date=April 9, 2015}}</ref>
|-
| ''[[Lady Chatterley's Lover]]'' (1928)
| [[D. H. Lawrence]]
| 1928
|
|1960
| Novel
| Banned in the United Kingdom for violation of obscenity laws; the ban was lifted in 1960.{{clarify|date=May 2020}}<ref name="sovasexual">{{cite book
 | last = Sova
 | first = Dawn B.
 | title = Banned Books: Literature Suppressed on Sexual Grounds
 | publisher = [[Facts on File]]
 | date = c. 2006
 | location = New York, NY
 | isbn = 0-8160-6272-2
 | url-access = registration
 | url = https://archive.org/details/literaturesuppre0000sova_r9r5
 }}</ref> |}
---
For this example table, the following triples are created:

@prefix wdt: <http://www.wikidata.org/prop/direct/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .
@prefix wd: <http://www.wikidata.org/entity/> .

<https://example.org/resource/Areopagitica> wdt:P50 <https://en.wikipedia.org/wiki/John_Milton> ;
 wdt:P1476 "Areopagitica"@en ;
 wdt:P136 <https://en.wikipedia.org/wiki/Pamphlet> ;
 wdt:P136 <https://en.wikipedia.org/wiki/Polemic> ;
 wdt:P407 <https://en.wikipedia.org/wiki/English_language> ;
 wdt:P6216 <https://en.wikipedia.org/wiki/Public_domain> ;
 wdt:P495 <https://en.wikipedia.org/wiki/Kingdom_of_England> ;
 rdfs:label "Areopagitica"@en ;
 wdt:P5008 <https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Human_rights> ;
 wdt:P18 <http://commons.wikimedia.org/wiki/Special:FilePath/Areopagitica%201644bw%20gobeirne.png> ;
 wdt:P921 <https://en.wikipedia.org/wiki/Censorship> ;
 wdt:P1343 <https://en.wikipedia.org/wiki/The_Nuttall_Encyclop%C3%A6dia> ;
 wdt:P577 "1644-01-01T00:00:00Z"^^xsd:dateTime ;
 wdt:P31 wd:Q7725634 .

<https://example.org/resource/Fanny_Hill> wdt:P18 <http://commons.wikimedia.org/wiki/Special:FilePath/Memoirs%20of%20a%20Woman%20of%20Pleasure%20Fanny%20Hill%201749%20edition%20title%20page.jpg> ;
 wdt:P50 <https://en.wikipedia.org/wiki/John_Cleland> ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Fanny_Hill_(1983_film)> ;
 wdt:P136 wd:Q10318944 ;
 wdt:P577 "1748-01-01T00:00:00Z"^^xsd:dateTime ;
 wdt:P407 <https://en.wikipedia.org/wiki/English_language> ;
 wdt:P1476 "Memoirs of a Woman of Pleasure"@en ;
 wdt:P6216 <https://en.wikipedia.org/wiki/Public_domain> ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Fanny_Hill_(1968_film)> ;
 rdfs:label "Fanny Hill"@en ;
 wdt:P7937 <https://en.wikipedia.org/wiki/Novel> ;
 wdt:P495 <https://en.wikipedia.org/wiki/United_Kingdom> ;
 wdt:P136 <https://en.wikipedia.org/wiki/Erotica> ;
 wdt:P840 <https://en.wikipedia.org/wiki/London> ;
 wdt:P840 <https://en.wikipedia.org/wiki/England> ;
 wdt:P31 wd:Q7725634 ;
 wdt:P953 <https://gutenberg.org/ebooks/25305> .

<https://example.org/resource/Rights_of_Man> wdt:P1476 "Rights of Man"@en ;
 wdt:P747 wd:Q107407415 ;
 wdt:P407 <https://en.wikipedia.org/wiki/English_language> ;
 wdt:P577 "1791-01-01T00:00:00Z"^^xsd:dateTime ;
 wdt:P6216 <https://en.wikipedia.org/wiki/Public_domain> ;
 wdt:P275 <https://en.wikipedia.org/wiki/Public_domain> ;
 rdfs:label "Rights of Man"@en ;
 wdt:P136 <https://en.wikipedia.org/wiki/Polemical_lampoon> ;
 wdt:P18 <http://commons.wikimedia.org/wiki/Special:FilePath/PaineRightsOfMan.png> ;
 wdt:P921 <https://en.wikipedia.org/wiki/French_Revolution> ;
 wdt:P50 <https://en.wikipedia.org/wiki/Thomas_Paine> ;
 wdt:P31 wd:Q7725634 .

<https://example.org/resource/Ulysses> wdt:P527 wd:Q56103091 ;
 wdt:P840 <https://en.wikipedia.org/wiki/O%27Connell_Bridge> ;
 wdt:P674 wd:Q28602262 ;
 wdt:P674 wd:Q28602472 ;
 wdt:P674 <https://en.wikipedia.org/wiki/Jack_Power_(Ulysses)> ;
 wdt:P31 wd:Q7725634 ;
 wdt:P674 <https://en.wikipedia.org/wiki/John_Hooper_(Irish_politician)> ;
 wdt:P156 <https://en.wikipedia.org/wiki/Finnegans_Wake> ;
 wdt:P840 <https://en.wikipedia.org/wiki/Dalkey> ;
 wdt:P1476 "Ulysses"@en ;
 wdt:P840 <https://en.wikipedia.org/wiki/Dublin> ;
 wdt:P840 <https://en.wikipedia.org/wiki/James_Joyce_Tower_and_Museum> ;
 wdt:P840 <https://en.wikipedia.org/wiki/Sandymount_Strand> ;
 wdt:P136 <https://en.wikipedia.org/wiki/Serial_(literature)> ;
 wdt:P136 <https://en.wikipedia.org/wiki/Metafiction> ;
 wdt:P840 <https://en.wikipedia.org/wiki/National_Library_of_Ireland> ;
 wdt:P793 <https://en.wikipedia.org/wiki/Bloomsday> ;
 wdt:P3132 "I said yes I will Yes."@en ;
 wdt:P747 wd:Q104191512 ;
 wdt:P793 <https://en.wikipedia.org/wiki/United_States_v._One_Book_Called_Ulysses> ;
 wdt:P840 wd:Q28601860 ;
 wdt:P166 <https://en.wikipedia.org/wiki/20th_Century%27s_Greatest_Hits:_100_English-Language_Books_of_Fiction> ;
 wdt:P495 <https://en.wikipedia.org/wiki/France> ;
 wdt:P166 <https://en.wikipedia.org/wiki/Le_Monde%27s_100_Books_of_the_Century> ;
 wdt:P18 <http://commons.wikimedia.org/wiki/Special:FilePath/JoyceUlysses2.jpg> ;
 wdt:P747 wd:Q15996608 ;
 wdt:P747 wd:Q19020726 ;
 wdt:P840 <https://en.wikipedia.org/wiki/Nelson%27s_Pillar> ;
 wdt:P527 wd:Q28601624 ;
 wdt:P527 wd:Q28601800 ;
 wdt:P527 wd:Q28602572 ;
 wdt:P527 wd:Q28602745 ;
 wdt:P18 <http://commons.wikimedia.org/wiki/Special:FilePath/UlyssesCover.jpg> ;
 wdt:P1343 wd:Q121485273 ;
 wdt:P527 wd:Q28601581 ;
 wdt:P527 wd:Q28657069 ;
 wdt:P495 <https://en.wikipedia.org/wiki/French_Third_Republic> ;
 wdt:P527 wd:Q28709812 ;
 wdt:P840 <https://en.wikipedia.org/wiki/National_Maternity_Hospital,_Dublin> ;
 wdt:P527 wd:Q28601724 ;
 wdt:P2408 <https://en.wikipedia.org/wiki/June_1904> ;
 wdt:P527 wd:Q38138028 ;
 wdt:P747 wd:Q28599480 ;
 wdt:P747 wd:Q28599531 ;
 wdt:P674 <https://en.wikipedia.org/wiki/Michael_Cusack_(Gaelic_Athletic_Association)> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Corny_Kelleher> ;
 wdt:P123 <https://en.wikipedia.org/wiki/Shakespeare_and_Company_(bookstore)> ;
 wdt:P527 wd:Q28602222 ;
