Wikipedia URL	Table Numbers
https://en.wikipedia.org/wiki/List_of_mosques_in_Africa	0
https://en.wikipedia.org/wiki/List_of_museums_in_Central_Texas	1, 2, 5, 9, 11
https://en.wikipedia.org/wiki/List_of_museums_and_galleries_in_Berlin	0
https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L)	1	38592593
https://en.wikipedia.org/wiki/List_of_books_banned_by_governments	3, 21, 46, 47, 55
https://en.wikipedia.org/wiki/List_of_schools_in_the_Auckland_Region	0, 2, 5, 6, 10, 11, 15, 17, 18
https://en.wikipedia.org/wiki/List_of_cinemas_in_Malaysia	2, 7, 12
https://en.wikipedia.org/wiki/List_of_books_about_skepticism	0
https://en.wikipedia.org/wiki/List_of_films_produced_and_released_by_Star_Cinema	2, 3, 4, 5, 6, 7, 9, 10, 24, 26, 27
https://en.wikipedia.org/wiki/List_of_Latin_phrases_(T)	0	22959192
https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Malaysia	0, 3
https://en.wikipedia.org/wiki/List_of_lost_expeditions	0
https://en.wikipedia.org/wiki/List_of_Web_archiving_initiatives	0
https://en.wikipedia.org/wiki/List_of_Ganesha_temples	1, 2
https://en.wikipedia.org/wiki/List_of_mosques_in_the_United_Kingdom	0, 2, 3, 7, 8, 9
https://en.wikipedia.org/wiki/List_of_mosques_in_Europe	0
https://en.wikipedia.org/wiki/List_of_oldest_church_buildings	0
https://en.wikipedia.org/wiki/List_of_universities_in_Malaysia	1, 2
https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Saudi_Arabia	0
https://en.wikipedia.org/wiki/List_of_coalition_military_operations_of_the_Iraq_War	0 
https://en.wikipedia.org/wiki/List_of_airlines_of_India	1, 3
https://en.wikipedia.org/wiki/List_of_newspapers_in_Argentina	0
https://en.wikipedia.org/wiki/List_of_Arthurian_characters	0
https://en.wikipedia.org/wiki/List_of_fictional_settlements	0, 1, 2, 3, 4, 5
https://en.wikipedia.org/wiki/List_of_longest_films	0, 1
https://en.wikipedia.org/wiki/List_of_films_featuring_dinosaurs	0, 1
https://en.wikipedia.org/wiki/List_of_monster_movies	0
https://en.wikipedia.org/wiki/List_of_clock_towers_in_India	0 
https://en.wikipedia.org/wiki/List_of_fictional_felines	0, 3, 5, 6, 7
https://en.wikipedia.org/wiki/List_of_charities_accused_of_ties_to_terrorism	0
https://en.wikipedia.org/wiki/List_of_charities_established_by_Australian_athletes	0
https://en.wikipedia.org/wiki/List_of_football_clubs_in_Chile	5 
https://en.wikipedia.org/wiki/List_of_hairstyles	1, 2, 0 
https://en.wikipedia.org/wiki/List_of_churches_in_London	0
