Your task is to create RDF triples in the Turtle format for entities described in a table in the Wikitext format, given an example table from the Wikipedia page "List of books about skepticism" and triples extracted from that example table. Only use information which is directly stated in the table. Return all triples for all entities that you can find, I do not want a partial representation. Do not return placeholders, only complete objects. If you provide a URL, the URL must be stated in the table.
---
This is the example table:

{| class="wikitable " 
|-
! Author(s)/Editor(s)
! Category 
! Title
! ISBN or WorldCat
! Publisher 
! Edition 
! Year
|-
|[[John William Draper]]
|[[Religious skepticism]]
|[[c:File:History of the conflict between religion and science (IA b24856800).pdf|History of the conflict between religion and science]]
| -
|[[Routledge|Kegan Paul, Trench, Trübner & Company]]
|21st
|1890
|-
|[[Ernst Haeckel|Haeckel, Ernst]]
|[[Religious skepticism]]
|[[c:The answer of Ernst Haeckel to the falsehoods of the Jesuits, Catholic and Protestant, from the German pamphlet "Sandalion," and "My church departure".pdf|''The answer of Ernst Haeckel to the falsehoods of the Jesuits, Catholic and Protestant, from the German pamphlet "Sandalion," and "My church departure"'']]
| -
|[[The Truth Seeker Company]]
|1st
|1911 |}
---
For this example table, the following triples are created:

@prefix wd: <http://www.wikidata.org/entity/> .
@prefix wdt: <http://www.wikidata.org/prop/direct/> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

<https://example.org/resource/John_William_Draper> wdt:P69 <https://en.wikipedia.org/wiki/Perelman_School_of_Medicine_at_the_University_of_Pennsylvania> ;
 wdt:P69 <https://en.wikipedia.org/wiki/Woodhouse_Grove_School> ;
 wdt:P569 "1811-05-05T00:00:00Z"^^xsd:dateTime ;
 wdt:P106 <https://en.wikipedia.org/wiki/Chemist> ;
 wdt:P106 <https://en.wikipedia.org/wiki/Philosopher> ;
 wdt:P19 <https://en.wikipedia.org/wiki/St_Helens,_Merseyside> ;
 wdt:P1343 <https://en.wikipedia.org/wiki/Brockhaus_and_Efron_Encyclopedic_Dictionary> ;
 wdt:P106 <https://en.wikipedia.org/wiki/Historian> ;
 wdt:P108 <https://en.wikipedia.org/wiki/New_York_University> ;
 wdt:P463 wd:Q12759592 ;
 wdt:P40 <https://en.wikipedia.org/wiki/John_Christopher_Draper> ;
 wdt:P101 <https://en.wikipedia.org/wiki/Physiology> ;
 wdt:P101 <https://en.wikipedia.org/wiki/Photography> ;
 wdt:P1559 "John William Draper"@en ;
 wdt:P101 <https://en.wikipedia.org/wiki/Philosophy> ;
 wdt:P101 <https://en.wikipedia.org/wiki/Chemistry> ;
 wdt:P735 <https://en.wikipedia.org/wiki/John_(given_name)> ;
 wdt:P31 <https://en.wikipedia.org/wiki/Human> ;
 wdt:P69 <https://en.wikipedia.org/wiki/University_College_London> ;
 wdt:P106 <https://en.wikipedia.org/wiki/Physiologist> ;
 wdt:P570 "1882-01-04T00:00:00Z"^^xsd:dateTime ;
 wdt:P800 wd:Q25456175 ;
 wdt:P40 wd:Q88471988 ;
